# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:a                      3:proper time [Gyr]      4:conf. time [Mpc]       5:H [1/Mpc]              6:comov. dist.           7:ang.diam.dist.         8:lum. dist.             9:comov.snd.hrz.        10:(.)rho_g              11:(.)rho_b              12:(.)rho_cdm            13:(.)number_ncdm[0]     14:(.)rho_ncdm[0]        15:(.)p_ncdm[0]          16:(.)number_ncdm[1]     17:(.)rho_ncdm[1]        18:(.)p_ncdm[1]          19:(.)rho_lambda         20:(.)rho_ur             21:(.)rho_crit           22:(.)rho_tot            23:(.)p_tot              24:(.)p_tot_prime        25:gr.fac. D             26:gr.fac. f          
       8.943931639467e+13       1.118076524185e-14       9.447879141727e-26       5.182300810702e-09       1.726082502732e+22       1.413985694611e+04       1.580944210677e-10       1.264659139178e+18       2.991619074694e-09       1.760730780460e+44       1.777594634171e+33       9.536759389776e+33       2.871287276849e+29       8.107112186065e+43       2.702370728688e+43       1.435643638425e+29       4.053556093033e+43       1.351185364344e+43       3.453080871730e-08       2.563197754348e+41       2.979360806237e+44       2.979360806237e+44       9.931202687080e+43      -7.666460737964e+52       1.262947259181e-06       8.959785097272e+00 
       8.881759324197e+13       1.125903059854e-14       9.580612395789e-26       5.218680598773e-09       1.702168734186e+22       1.413985694611e+04       1.592010820152e-10       1.255868062739e+18       3.012560408216e-09       1.712281144399e+44       1.740781725925e+33       9.339258878898e+33       2.811824656385e+29       7.884030588767e+43       2.628010196256e+43       1.405912328192e+29       3.942015294383e+43       1.314005098128e+43       3.453080871730e-08       2.492666813600e+41       2.897378399639e+44       2.897378399639e+44       9.657927998426e+43      -7.403678697372e+52       1.341881462880e-06       8.432738915079e+00 
       8.820019189868e+13       1.133784381273e-14       9.715210419337e-26       5.255060386844e-09       1.678586275600e+22       1.413985694611e+04       1.603154895893e-10       1.247138096067e+18       3.033648331074e-09       1.665164686165e+44       1.704731190712e+33       9.145848483981e+33       2.753593470776e+29       7.667087478011e+43       2.555695826004e+43       1.376796735388e+29       3.833543739006e+43       1.277847913002e+43       3.453080871730e-08       2.424076657013e+41       2.817651884632e+44       2.817651884632e+44       9.392172948412e+43      -7.149903994483e+52       1.420815666579e-06       7.964253419797e+00 
       8.758708232243e+13       1.141720871942e-14       9.851699410518e-26       5.291440174915e-09       1.655330536887e+22       1.413985694611e+04       1.614376980164e-10       1.238468814366e+18       3.054883869391e-09       1.619344721000e+44       1.669427240249e+33       8.956443501201e+33       2.696568217752e+29       7.456113942434e+43       2.485371314145e+43       1.348284108876e+29       3.728056971217e+43       1.242685657072e+43       3.453080871730e-08       2.357373880462e+41       2.740119186352e+44       2.740119186352e+44       9.133730620818e+43      -6.904827886234e+52       1.499749870277e-06       7.545082187175e+00 
       8.697823467967e+13       1.149712918045e-14       9.990105935536e-26       5.327819962986e-09       1.632396991553e+22       1.413985694611e+04       1.625677619025e-10       1.229859795795e+18       3.076268056477e-09       1.574785573594e+44       1.634854413218e+33       8.770960980899e+33       2.640723923180e+29       7.250945718566e+43       2.416981906189e+43       1.320361961590e+29       3.625472859283e+43       1.208490953094e+43       3.453080871730e-08       2.292506549332e+41       2.664719938032e+44       2.664719938032e+44       8.882399793093e+43      -6.668152212295e+52       1.578684073976e-06       7.167828077816e+00 
       8.637361934426e+13       1.157760908472e-14       1.013045693382e-25       5.366018740460e-09       1.609781175814e+22       1.413985694611e+04       1.637057362358e-10       1.221310621445e+18       3.097801932872e-09       1.531452550306e+44       1.600997568494e+33       8.589319691251e+33       2.586036130126e+29       7.051423062940e+43       2.350474354313e+43       1.293018065063e+29       3.525711531470e+43       1.175237177157e+43       3.453080871730e-08       2.229424158081e+41       2.591395434007e+44       2.591395434007e+44       8.637984779682e+43      -6.439589032332e+52       1.657618277675e-06       6.826502931254e+00 
       8.577320689599e+13       1.165865234831e-14       1.027277972329e-25       5.402398528531e-09       1.587478687731e+22       1.413985694611e+04       1.648516763895e-10       1.212820875318e+18       3.119486546402e-09       1.489311912151e+44       1.567841878520e+33       8.411440082698e+33       2.532480888144e+29       6.857390627715e+43       2.285796875905e+43       1.266240444072e+29       3.428695313857e+43       1.142898437952e+43       3.453080871730e-08       2.168077590915e+41       2.520088583999e+44       2.520088583999e+44       8.400295279665e+43      -6.218860275696e+52       1.736552481374e-06       6.516207343469e+00 
       8.517696811915e+13       1.174026291475e-14       1.041710200562e-25       5.440597306006e-09       1.565485186348e+22       1.413985694611e+04       1.660056381242e-10       1.204390144308e+18       3.141322952227e-09       1.448330848536e+44       1.535372822803e+33       8.237244253103e+33       2.480034742786e+29       6.668697339720e+43       2.222899113240e+43       1.240017371393e+29       3.334348669860e+43       1.111449556620e+43       3.453080871730e-08       2.108419083552e+41       2.450743868675e+44       2.450743868675e+44       8.169146228590e+43      -6.005697403119e+52       1.815486685072e-06       6.232893980709e+00 
       8.458487400115e+13       1.182244475515e-14       1.056345187170e-25       5.478796083480e-09       1.543796390853e+22       1.413985694611e+04       1.671676775911e-10       1.196018018181e+18       3.163312212892e-09       1.408477451704e+44       1.503576181565e+33       8.066655913634e+33       2.428674725334e+29       6.485196282834e+43       2.161732094278e+43       1.214337362667e+29       3.242598141417e+43       1.080866047139e+43       3.453080871730e-08       2.050402186026e+41       2.383307296411e+44       2.383307296411e+44       7.944357654384e+43      -5.799841080011e+52       1.894420888771e-06       5.973190064846e+00 
       8.399689573103e+13       1.190520186844e-14       1.071185780704e-25       5.516994860955e-09       1.522408079741e+22       1.413985694611e+04       1.683378513342e-10       1.187704089554e+18       3.185455398382e-09       1.369720691902e+44       1.472438029508e+33       7.899600355357e+33       2.378378342736e+29       6.306744583589e+43       2.102248194530e+43       1.189189171368e+29       3.153372291795e+43       1.051124097265e+43       3.453080871730e-08       1.993981726525e+41       2.317726361261e+44       2.317726361261e+44       7.725754537223e+43      -5.601040860951e+52       1.973355092470e-06       5.734262462252e+00 
       8.341300469814e+13       1.198853828152e-14       1.086234869737e-25       5.555193638429e-09       1.501316089993e+22       1.413985694611e+04       1.695162162936e-10       1.179447953877e+18       3.207753586171e-09       1.332030393213e+44       1.441944729722e+33       7.736004416511e+33       2.329123567759e+29       6.133203299940e+43       2.044401099980e+43       1.164561783880e+29       3.066601649970e+43       1.022200549990e+43       3.453080871730e-08       1.939113776221e+41       2.253950002072e+44       2.253950002072e+44       7.513166673266e+43      -5.409054884999e+52       2.052289296169e-06       5.513713906012e+00 
       8.283317249071e+13       1.207245804949e-14       1.101495383422e-25       5.595211405307e-09       1.480516316266e+22       1.413985694611e+04       1.707028298076e-10       1.171249209411e+18       3.230207861274e-09       1.295377210063e+44       1.412082927705e+33       7.575796450475e+33       2.280888829341e+29       5.964437313075e+43       1.988145771025e+43       1.140444414670e+29       2.982218656538e+43       9.940728855126e+42       3.453080871730e-08       1.885755615064e+41       2.191928562730e+44       2.191928562730e+44       7.306428542132e+43      -5.223649581438e+52       2.131223499867e-06       5.309502279863e+00 
       8.225737089444e+13       1.215696525583e-14       1.116970292064e-25       5.633410182782e-09       1.460004710094e+22       1.413985694611e+04       1.718977496163e-10       1.163107457210e+18       3.252819316303e-09       1.259732604377e+44       1.382839545522e+33       7.418906294383e+33       2.233653003140e+29       5.800315222219e+43       1.933438407406e+43       1.116826501570e+29       2.900157611109e+43       9.667192037031e+42       3.453080871730e-08       1.833865698523e+41       2.131613753497e+44       2.131613753497e+44       7.105379178029e+43      -5.044599385622e+52       2.210157703566e-06       5.119877198439e+00 
       8.168557189121e+13       1.224206401262e-14       1.132662607697e-25       5.673427949660e-09       1.439777279100e+22       1.413985694611e+04       1.731010338636e-10       1.155022301103e+18       3.275589051517e-09       1.225068823353e+44       1.354201776072e+33       7.265265238400e+33       2.187395402291e+29       5.640709242320e+43       1.880236414107e+43       1.093697701146e+29       2.820354621160e+43       9.401182070534e+42       3.453080871730e-08       1.783403625239e+41       2.072958613413e+44       2.072958613413e+44       6.909862044423e+43      -4.871686464545e+52       2.289091907265e-06       4.943329708838e+00 
       8.111774765760e+13       1.232775846071e-14       1.148575384672e-25       5.713445716538e-09       1.419830086219e+22       1.413985694611e+04       1.743127411006e-10       1.146993347669e+18       3.298518174877e-09       1.191358877859e+44       1.326157077483e+33       7.114805995632e+33       2.142095768339e+29       5.485495104562e+43       1.828498368187e+43       1.071047884170e+29       2.742747552281e+43       9.142491840936e+42       3.453080871730e-08       1.734330105567e+41       2.015917473733e+44       2.015917473733e+44       6.719724912161e+43      -4.704700451829e+52       2.368026110963e-06       4.778552051877e+00 
       8.055387056366e+13       1.241405276994e-14       1.164711720252e-25       5.753463483416e-09       1.400159248931e+22       1.413985694611e+04       1.755329302883e-10       1.139020206225e+18       3.321607802101e-09       1.158576521413e+44       1.298693167616e+33       6.967462672654e+33       2.097734262370e+29       5.334551959603e+43       1.778183986534e+43       1.048867131185e+29       2.667275979802e+43       8.890919932672e+42       3.453080871730e-08       1.686606930987e+41       1.960445922367e+44       1.960445922367e+44       6.534819740948e+43      -4.543438191790e+52       2.446960314662e-06       4.624405211493e+00 
       7.999391317146e+13       1.250095113933e-14       1.181074755209e-25       5.793481250294e-09       1.380760938506e+22       1.413985694611e+04       1.767616608004e-10       1.131102488804e+18       3.344859056716e-09       1.126696229756e+44       1.271798018688e+33       6.823170740654e+33       2.054291456321e+29       5.187762283489e+43       1.729254094496e+43       1.027145728161e+29       2.593881141744e+43       8.646270472481e+42       3.453080871730e-08       1.640196944355e+41       1.906500769304e+44       1.906500769304e+44       6.355002564078e+43      -4.387703492278e+52       2.525894518361e-06       4.479892548634e+00 
       7.943784823382e+13       1.258845779730e-14       1.197667674445e-25       5.833499017172e-09       1.361631379259e+22       1.413985694611e+04       1.779989924260e-10       1.123239810133e+18       3.368273070112e-09       1.095693180972e+44       1.245459852005e+33       6.681867007173e+33       2.011748324474e+29       5.045011786142e+43       1.681670595381e+43       1.005874162237e+29       2.522505893071e+43       8.408352976904e+42       3.453080871730e-08       1.595064010971e+41       1.854040012983e+44       1.854040012983e+44       6.180133376346e+43      -4.237306885992e+52       2.604828722059e-06       4.344138228979e+00 
       7.888564869297e+13       1.267657700188e-14       1.214493707603e-25       5.875335773453e-09       1.342766847814e+22       1.413985694611e+04       1.792449853729e-10       1.115431787619e+18       3.391850981603e-09       1.065543236164e+44       1.219667132802e+33       6.543489588429e+33       1.970086235120e+29       4.906189322383e+43       1.635396440794e+43       9.850431175602e+28       2.453094661192e+43       8.176982203972e+42       3.453080871730e-08       1.551172990446e+41       1.803022807589e+44       1.803022807589e+44       6.010076025039e+43      -4.092065399970e+52       2.683762925758e-06       4.216369457538e+00 
       7.833728767921e+13       1.276531304090e-14       1.231556129701e-25       5.915353540331e-09       1.324163672381e+22       1.413985694611e+04       1.804997002705e-10       1.107678041330e+18       3.415593938474e-09       1.036222920661e+44       1.194408565191e+33       6.407977882217e+33       1.929286942404e+29       4.771186805388e+43       1.590395601796e+43       9.646434712019e+28       2.385593402694e+43       7.951978008979e+42       3.453080871730e-08       1.508489709340e+41       1.753409431254e+44       1.753409431254e+44       5.844698103928e+43      -3.951802332983e+52       2.762697129457e-06       4.095901758751e+00 
       7.779273850965e+13       1.285467023218e-14       1.248858261768e-25       5.957190296613e-09       1.305818232040e+22       1.413985694611e+04       1.817631981724e-10       1.099978193972e+18       3.439503096043e-09       1.007709405738e+44       1.169673087218e+33       6.275272541367e+33       1.889332578329e+29       4.639899122533e+43       1.546633040844e+43       9.446662891644e+28       2.319949561266e+43       7.733165204221e+42       3.453080871730e-08       1.466980934557e+41       1.705161255127e+44       1.705161255127e+44       5.683870850175e+43      -3.816347040564e+52       2.841631333155e-06       3.982126709897e+00 
       7.725197468684e+13       1.294465292381e-14       1.266403471487e-25       5.999027052894e-09       1.287726956034e+22       1.413985694611e+04       1.830355405596e-10       1.092331870876e+18       3.463579617715e-09       9.799804908440e+43       1.145449866012e+33       6.145315447750e+33       1.850205644935e+29       4.512224053556e+43       1.504074684519e+43       9.251028224675e+28       2.256112026778e+43       7.520373422593e+42       3.453080871730e-08       1.426614347470e+41       1.658240713298e+44       1.658240713298e+44       5.527469044083e+43      -3.685534727399e+52       2.920565536854e-06       3.874501663683e+00 
       7.671496989756e+13       1.303526549428e-14       1.284195173858e-25       6.040863809176e-09       1.269886323082e+22       1.413985694611e+04       1.843167893436e-10       1.084738699976e+18       3.487824675039e-09       9.530145863146e+43       1.121728293046e+33       6.018049686831e+33       1.811889006634e+29       4.388062190968e+43       1.462687396989e+43       9.059445033169e+28       2.194031095484e+43       7.313436984946e+42       3.453080871730e-08       1.387358518753e+41       1.612611273550e+44       1.612611273550e+44       5.375370911595e+43      -3.559206246833e+52       2.999499740553e-06       3.772541093587e+00 
       7.618169801148e+13       1.312651235274e-14       1.302236831855e-25       6.082700565457e-09       1.252292860682e+22       1.413985694611e+04       1.856070068690e-10       1.077198311794e+18       3.512239447764e-09       9.267906965640e+43       1.098497979489e+33       5.893419522741e+33       1.774365882705e+29       4.267316862651e+43       1.422438954217e+43       8.871829413523e+28       2.133658431326e+43       7.112194771085e+42       3.453080871730e-08       1.349182883918e+41       1.568237408915e+44       1.568237408915e+44       5.227458029485e+43      -3.437207907261e+52       3.078433944251e-06       3.675809270674e+00 
       7.565213307992e+13       1.321839793920e-14       1.320531957106e-25       6.126356311142e-09       1.234943144446e+22       1.413985694611e+04       1.869062559171e-10       1.069710339418e+18       3.536825123898e-09       9.012884037369e+43       1.075748751656e+33       5.771370373865e+33       1.737619839946e+29       4.149894056595e+43       1.383298018865e+43       8.688099199729e+28       2.074947028298e+43       6.916490094326e+42       3.453080871730e-08       1.312057719508e+41       1.525084570014e+44       1.525084570014e+44       5.083615233153e+43      -3.319391285135e+52       3.157368147950e-06       3.583914038907e+00 
       7.512624933457e+13       1.331092672478e-14       1.339084110571e-25       6.168193067424e-09       1.217833797426e+22       1.413985694611e+04       1.882145997085e-10       1.062274418488e+18       3.561582899765e-09       8.764878518120e+43       1.053470646553e+33       5.651848788941e+33       1.701634785477e+29       4.035702347696e+43       1.345234115899e+43       8.508173927383e+28       2.017851173848e+43       6.726170579494e+42       3.453080871730e-08       1.275954119965e+41       1.483119158153e+44       1.483119158153e+44       4.943730526955e+43      -3.205613044399e+52       3.236302351649e-06       3.496501501373e+00 
       7.460402118627e+13       1.340410321185e-14       1.357896903241e-25       6.211848813109e-09       1.200961489461e+22       1.413985694611e+04       1.895321019064e-10       1.054890187178e+18       3.586513980064e-09       8.523697311413e+43       1.031653907514e+33       5.534802423651e+33       1.666394959690e+29       3.924652826574e+43       1.308217608858e+43       8.331974798452e+28       1.962326413287e+43       6.541088044291e+42       3.453080871730e-08       1.240843975116e+41       1.442308499168e+44       1.442308499168e+44       4.807694997009e+43      -3.095734762106e+52       3.315236555347e-06       3.413251465626e+00 
       7.408542322370e+13       1.349793193434e-14       1.376973996834e-25       6.255504558794e-09       1.184322936526e+22       1.413985694611e+04       1.908588266198e-10       1.047557286175e+18       3.611619577924e-09       8.289152634162e+43       1.010288979926e+33       5.420180017695e+33       1.631884929353e+29       3.816659030350e+43       1.272219676783e+43       8.159424646764e+28       1.908329515175e+43       6.361098383916e+42       3.453080871730e-08       1.206699948290e+41       1.402620817981e+44       1.402620817981e+44       4.675402726390e+43      -2.989622760007e+52       3.394170759046e-06       3.333873524565e+00 
       7.357043021222e+13       1.359241745788e-14       1.396319104516e-25       6.299160304479e-09       1.167914900095e+22       1.413985694611e+04       1.921948384061e-10       1.040275358664e+18       3.636900914969e-09       8.061061870468e+43       9.893665070487e+32       5.307931372344e+33       1.598089580842e+29       3.711636875322e+43       1.237212291774e+43       7.990447904210e+28       1.855818437661e+43       6.186061458870e+42       3.453080871730e-08       1.173495455032e+41       1.364025213863e+44       1.364025213863e+44       4.546750712667e+43      -2.887147941923e+52       3.473104962745e-06       3.258103671734e+00 
       7.305901709257e+13       1.368756438008e-14       1.415935991615e-25       6.342816050164e-09       1.151734186509e+22       1.413985694611e+04       1.935402022750e-10       1.033044050312e+18       3.662359221374e-09       7.839247429430e+43       9.688773259127e+32       5.198007328452e+33       1.564994113530e+29       3.609504591503e+43       1.203168197168e+43       7.824970567651e+28       1.804752295752e+43       6.015840985839e+42       3.453080871730e-08       1.141204642407e+41       1.326491636373e+44       1.326491636373e+44       4.421638787703e+43      -2.788185636682e+52       3.552039166443e-06       3.185701367918e+00 
       7.255115897971e+13       1.378337733074e-14       1.435828476361e-25       6.388290785253e-09       1.135777646355e+22       1.413985694611e+04       1.948949836909e-10       1.025863009247e+18       3.687995735923e-09       7.623536606878e+43       9.488124633084e+32       5.090359744933e+33       1.532584033302e+29       3.510182658952e+43       1.170060886317e+43       7.662920166509e+28       1.755091329476e+43       5.850304431587e+42       3.453080871730e-08       1.109802368868e+41       1.289990861960e+44       1.289990861960e+44       4.299969539665e+43      -2.692615446447e+52       3.630973370142e-06       3.116446990354e+00 
       7.204683116158e+13       1.387986097206e-14       1.456000430625e-25       6.431946530938e-09       1.120042173855e+22       1.413985694611e+04       1.962592485767e-10       1.018731886045e+18       3.713811706074e-09       7.413761450905e+43       9.291631318561e+32       4.984941477670e+33       1.500845146205e+29       3.413593745860e+43       1.137864581953e+43       7.504225731025e+28       1.706796872930e+43       5.689322909767e+42       3.453080871730e-08       1.079264184685e+41       1.254494471213e+44       1.254494471213e+44       4.181648237181e+43      -2.600321100238e+52       3.709907573840e-06       3.050139607581e+00 
       7.154600909790e+13       1.397701999886e-14       1.476455780675e-25       6.477421266027e-09       1.104524706257e+22       1.413985694611e+04       1.976330633168e-10       1.011650333709e+18       3.739808388017e-09       7.209758631098e+43       9.099207261572e+32       4.881706358873e+33       1.469763552237e+29       3.319662648340e+43       1.106554216113e+43       7.348817761185e+28       1.659831324170e+43       5.532771080567e+42       3.453080871730e-08       1.049566312903e+41       1.219974826732e+44       1.219974826732e+44       4.066582755579e+43      -2.511190312476e+52       3.788841777539e-06       2.986595032423e+00 
       7.104866841896e+13       1.407485913885e-14       1.497198507938e-25       6.522896001115e-09       1.089222223243e+22       1.413985694611e+04       1.990164947600e-10       1.004618007655e+18       3.765987046732e-09       7.011369311369e+43       8.910768190259e+32       4.780609176861e+33       1.439325639255e+29       3.228316231875e+43       1.076105410625e+43       7.196628196275e+28       1.614158115937e+43       5.380527053125e+42       3.453080871730e-08       1.020685630833e+41       1.186405051606e+44       1.186405051606e+44       3.954683505163e+43      -2.425114646379e+52       3.867775981238e-06       2.925644113394e+00 
